BlockName	NumTrials	NumClicksLeft	NumClicksRight	NumCoinsLeft	NumCoinsRight	ClicksPerOutline	NumPulsesLeft	NumPulsesRight	PulseSizeLeft	PulseSizeRight	ContextName
 EC10_13-EC10_5	1	10	10	13	5	2	4	2	500	500	011_058_021_001_3
 EC5_9-EC15_9	1	5	15	9	9	2	3	3	500	500	011_058_021_001_3
 EC20_9-EC15_9	1	20	15	9	9	2	3	3	500	500	011_058_021_001_3
 EC10_5-EC5_2	1	10	5	5	2	2	2	1	500	500	011_058_021_001_3
 EC10_13-EC10_9	1	10	10	13	9	2	4	3	500	500	011_058_021_001_3
 EC5_2-EC5_9	1	5	5	2	9	2	1	3	500	500	011_058_021_001_3
 EC15_9-EC20_9	1	15	20	9	9	2	3	3	500	500	011_058_021_001_3
 EC20_13-EC5_2	1	20	5	13	2	2	4	1	500	500	011_058_021_001_3
 EC5_5-EC20_13	1	5	20	5	13	2	2	4	500	500	011_058_021_001_3
 EC10_2-EC20_9	1	10	20	2	9	2	1	3	500	500	011_058_021_001_3
 EC20_13-EC20_5	1	20	20	13	5	2	4	2	500	500	011_058_021_001_3
 EC15_9-EC10_2	1	15	10	9	2	2	3	1	500	500	011_058_021_001_3
 EC15_5-EC10_2	1	15	10	5	2	2	2	1	500	500	011_058_021_001_3
 EC10_9-EC10_2	1	10	10	9	2	2	3	1	500	500	011_058_021_001_3
 EC15_9-EC15_5	1	15	15	9	5	2	3	2	500	500	011_058_021_001_3
 EC5_9-EC20_2	1	5	20	9	2	2	3	1	500	500	011_058_021_001_3
 EC15_5-EC5_5	1	15	5	5	5	2	2	2	500	500	011_058_021_001_3
 EC10_13-EC5_2	1	10	5	13	2	2	4	1	500	500	011_058_021_001_3
 EC5_13-EC10_13	1	5	10	13	13	2	4	4	500	500	011_058_021_001_3
 EC15_5-EC20_9	1	15	20	5	9	2	2	3	500	500	011_058_021_001_3
 EC20_13-EC10_9	1	20	10	13	9	2	4	3	500	500	011_058_021_001_3
 EC15_9-EC5_13	1	15	5	9	13	2	3	4	500	500	011_058_021_001_3
 EC10_5-EC10_13	1	10	10	5	13	2	2	4	500	500	011_058_021_001_3
 EC20_2-EC15_5	1	20	15	2	5	2	1	2	500	500	011_058_021_001_3
 EC5_13-EC5_2	1	5	5	13	2	2	4	1	500	500	011_058_021_001_3
 EC15_13-EC10_13	1	15	10	13	13	2	4	4	500	500	011_058_021_001_3
 EC20_5-EC10_5	1	20	10	5	5	2	2	2	500	500	011_058_021_001_3
 EC5_9-EC10_2	1	5	10	9	2	2	3	1	500	500	011_058_021_001_3
 EC20_13-EC5_9	1	20	5	13	9	2	4	3	500	500	011_058_021_001_3
 EC5_9-EC10_9	1	5	10	9	9	2	3	3	500	500	011_058_021_001_3
 EC5_5-EC5_9	1	5	5	5	9	2	2	3	500	500	011_058_021_001_3
 EC15_5-EC20_2	1	15	20	5	2	2	2	1	500	500	011_058_021_001_3
 EC10_13-EC15_9	1	10	15	13	9	2	4	3	500	500	011_058_021_001_3
 EC10_13-EC15_13	1	10	15	13	13	2	4	4	500	500	011_058_021_001_3
 EC10_13-EC20_9	1	10	20	13	9	2	4	3	500	500	011_058_021_001_3
 EC5_5-EC15_5	1	5	15	5	5	2	2	2	500	500	011_058_021_001_3
 EC15_13-EC5_5	1	15	5	13	5	2	4	2	500	500	011_058_021_001_3
 EC20_5-EC15_2	1	20	15	5	2	2	2	1	500	500	011_058_021_001_3
 EC15_9-EC5_2	1	15	5	9	2	2	3	1	500	500	011_058_021_001_3
 EC10_9-EC15_5	1	10	15	9	5	2	3	2	500	500	011_058_021_001_3
 EC20_2-EC20_5	1	20	20	2	5	2	1	2	500	500	011_058_021_001_3
 EC5_5-EC20_5	1	5	20	5	5	2	2	2	500	500	011_058_021_001_3
 EC5_5-EC20_2	1	5	20	5	2	2	2	1	500	500	011_058_021_001_3
 EC5_5-EC15_13	1	5	15	5	13	2	2	4	500	500	011_058_021_001_3
 EC15_5-EC10_13	1	15	10	5	13	2	2	4	500	500	011_058_021_001_3
 EC5_9-EC20_5	1	5	20	9	5	2	3	2	500	500	011_058_021_001_3
 EC20_5-EC5_5	1	20	5	5	5	2	2	2	500	500	011_058_021_001_3
 EC15_5-EC10_5	1	15	10	5	5	2	2	2	500	500	011_058_021_001_3
 EC20_13-EC15_5	1	20	15	13	5	2	4	2	500	500	011_058_021_001_3
 EC5_9-EC5_2	1	5	5	9	2	2	3	1	500	500	011_058_021_001_3
 EC15_2-EC20_9	1	15	20	2	9	2	1	3	500	500	011_058_021_001_3
 EC5_2-EC10_2	1	5	10	2	2	2	1	1	500	500	011_058_021_001_3
 EC10_2-EC15_5	1	10	15	2	5	2	1	2	500	500	011_058_021_001_3
 EC5_13-EC5_5	1	5	5	13	5	2	4	2	500	500	011_058_021_001_3
 EC15_5-EC5_13	1	15	5	5	13	2	2	4	500	500	011_058_021_001_3
 EC5_2-EC5_5	1	5	5	2	5	2	1	2	500	500	011_058_021_001_3
 EC10_2-EC10_13	1	10	10	2	13	2	1	4	500	500	011_058_021_001_3
 EC10_9-EC5_9	1	10	5	9	9	2	3	3	500	500	011_058_021_001_3
 EC15_2-EC5_5	1	15	5	2	5	2	1	2	500	500	011_058_021_001_3
 EC5_5-EC10_9	1	5	10	5	9	2	2	3	500	500	011_058_021_001_3
 EC10_13-EC20_5	1	10	20	13	5	2	4	2	500	500	011_058_021_001_3
 EC5_5-EC10_2	1	5	10	5	2	2	2	1	500	500	011_058_021_001_3
 EC10_5-EC15_2	1	10	15	5	2	2	2	1	500	500	011_058_021_001_3
 EC15_9-EC20_13	1	15	20	9	13	2	3	4	500	500	011_058_021_001_3
 EC15_2-EC10_9	1	15	10	2	9	2	1	3	500	500	011_058_021_001_3
 EC10_5-EC5_13	1	10	5	5	13	2	2	4	500	500	011_058_021_001_3
 EC5_13-EC20_2	1	5	20	13	2	2	4	1	500	500	011_058_021_001_3
 EC15_2-EC20_13	1	15	20	2	13	2	1	4	500	500	011_058_021_001_3
 EC15_5-EC15_2	1	15	15	5	2	2	2	1	500	500	011_058_021_001_3
 EC10_13-EC15_2	1	10	15	13	2	2	4	1	500	500	011_058_021_001_3
 EC10_2-EC10_5	1	10	10	2	5	2	1	2	500	500	011_058_021_001_3
 EC20_13-EC20_2	1	20	20	13	2	2	4	1	500	500	011_058_021_001_3
 EC10_9-EC15_13	1	10	15	9	13	2	3	4	500	500	011_058_021_001_3
 EC20_13-EC15_9	1	20	15	13	9	2	4	3	500	500	011_058_021_001_3
 EC5_5-EC5_2	1	5	5	5	2	2	2	1	500	500	011_058_021_001_3
 EC20_5-EC15_13	1	20	15	5	13	2	2	4	500	500	011_058_021_001_3
 EC15_9-EC5_5	1	15	5	9	5	2	3	2	500	500	011_058_021_001_3
 EC5_2-EC20_2	1	5	20	2	2	2	1	1	500	500	011_058_021_001_3
 EC5_9-EC20_9	1	5	20	9	9	2	3	3	500	500	011_058_021_001_3
 EC10_9-EC20_5	1	10	20	9	5	2	3	2	500	500	011_058_021_001_3
