TrialID	NumClicksLeft	NumClicksRight	NumCoinsLeft	NumCoinsRight	ClicksPerOutline	NumPulsesLeft	NumPulsesRight	PulseSizeLeft	PulseSizeRight	DifficultyLevel	NegStep	PosStep	BlockCount
EC10_2-EC15_5	2	3	1	5	1	1	2	500	500	0	3	1	1
EC5_13-EC5_2	2	3	13	2	1	4	1	500	500	1	3	1	1
EC10_2-EC20_5	2	3	1	5	1	1	2	500	500	2	3	1	1
EC10_2-EC15_5	2	3	2	5	1	1	2	500	500	0	3	1	2
EC5_13-EC5_2	2	3	13	2	1	4	1	500	500	1	3	1	2
EC10_2-EC20_5	2	3	2	5	1	1	2	500	500	2	3	1	2
EC10_2-EC15_5	2	3	2	5	1	1	2	500	500	0	3	1	3
EC5_13-EC5_2	2	3	13	2	1	4	1	500	500	1	3	1	3
EC10_2-EC20_5	2	3	2	5	1	1	2	500	500	2	3	1	3
EC10_5-EC5_9	2	3	5	9	1	2	3	500	500	3	3	1	3
EC5_5-EC10_9	2	3	5	9	1	2	3	500	500	4	3	1	3
