Index	ObjectName	OpenSpriteName	ClosedSpriteName	ActivateDelay	OpenAngle	ClosedLineThickness	IsTarget	RotateTowardsDest	Speed	Size	NextDestDist	CloseDuration	ResponseWindow	MinAnimGap	RatesAndDurations	AngleProbs	AngleRanges	NumDestWithoutBigTurn	ObjectColor	Opacity	SliderChange	MouthAngles	RewardPulsesBySec
0	T1	Pacman	Pacman	0	45	5	TRUE	FALSE	300	160	140	0.5	[.01, 1]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
1	T2	Pacman	Pacman	0	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
2	T3	Pacman	Pacman	0	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
3	T4	Pacman	Pacman	0	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
4	T5	Pacman	Pacman	0	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
5	T6	Pacman	Pacman	10	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
6	T7	Pacman	Pacman	10	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
7	T8	Pacman	Pacman	10	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
8	T9	Pacman	Pacman	10	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
9	T10	Pacman	Pacman	10	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
10	T11	Pacman	Pacman	20	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
11	T12	Pacman	Pacman	20	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
12	T13	Pacman	Pacman	20	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
13	T14	Pacman	Pacman	20	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
14	T15	Pacman	Pacman	20	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
15	T16	Pacman	Pacman	30	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
16	T17	Pacman	Pacman	30	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
17	T18	Pacman	Pacman	30	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
18	T19	Pacman	Pacman	30	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
19	T20	Pacman	Pacman	30	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
