TrialID	BlockCount	TrialStimIndices	TrialStimLocations	TrialStimTokenReward	RandomizedLocations
 NNNew.1.0001	1	[115, 95, 164]	[[-8.5, 0.5, 0],[-0.5, -8.5, 0],[8.5, -0.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0002	1	[115, 97, 162]	[[3.9, 7.5, 0],[7.5, -3.9, 0],[-3.9, -7.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0003	1	[93, 117, 164]	[[3.9, 7.5, 0],[7.5, -3.9, 0],[-3.9, -7.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0004	1	[93, 164, 117]	[[-0.5, -8.5, 0],[0.5, 8.5, 0],[-8.5, 0.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0005	1	[160, 97, 117]	[[-0.5, -8.5, 0],[-8.5, 0.5, 0],[8.5, -0.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0006	1	[93, 162, 119]	[[-7.9, -3.0, 0],[3.0, -7.9, 0],[7.9, 3.0, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0007	1	[115, 164, 95]	[[-6.0, -6.0, 0],[6.0, 6.0, 0],[-6.0, 6.0, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0008	1	[115, 162, 97]	[[-8.5, 0.5, 0],[8.5, -0.5, 0],[-0.5, -8.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0009	1	[115, 162, 97]	[[-6.0, 6.0, 0],[6.0, 6.0, 0],[-6.0, -6.0, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0010	1	[93, 119, 162]	[[-3.9, -7.5, 0],[3.9, 7.5, 0],[7.5, -3.9, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0011	1	[160, 117, 97]	[[3.9, 7.5, 0],[-7.5, 3.9, 0],[-3.9, -7.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0012	1	[115, 95, 164]	[[8.5, -0.5, 0],[-8.5, 0.5, 0],[0.5, 8.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0013	1	[115, 162, 97]	[[6.0, 6.0, 0],[-6.0, 6.0, 0],[-6.0, -6.0, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0014	1	[93, 162, 119]	[[-6.0, 6.0, 0],[-6.0, -6.0, 0],[6.0, 6.0, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0015	1	[93, 164, 117]	[[-7.5, 3.9, 0],[7.5, -3.9, 0],[3.9, 7.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0016	1	[160, 97, 117]	[[0.5, 8.5, 0],[8.5, -0.5, 0],[-0.5, -8.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0017	1	[115, 95, 164]	[[-7.5, 3.9, 0],[-3.9, -7.5, 0],[7.5, -3.9, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0018	1	[115, 97, 162]	[[7.5, -3.9, 0],[-7.5, 3.9, 0],[3.9, 7.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0019	1	[115, 164, 95]	[[-6.0, 6.0, 0],[6.0, -6.0, 0],[-6.0, -6.0, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0020	1	[160, 119, 95]	[[7.5, -3.9, 0],[3.9, 7.5, 0],[-7.5, 3.9, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0021	1	[160, 97, 117]	[[3.9, 7.5, 0],[-3.9, -7.5, 0],[7.5, -3.9, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0022	1	[115, 97, 162]	[[0.5, 8.5, 0],[-0.5, -8.5, 0],[-8.5, 0.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0023	1	[93, 119, 162]	[[-8.5, 0.5, 0],[-0.5, -8.5, 0],[8.5, -0.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0024	1	[160, 97, 117]	[[7.5, -3.9, 0],[-7.5, 3.9, 0],[-3.9, -7.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0025	1	[93, 117, 164]	[[6.0, 6.0, 0],[-6.0, -6.0, 0],[-6.0, 6.0, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0026	1	[115, 95, 164]	[[-6.0, 6.0, 0],[6.0, -6.0, 0],[-6.0, -6.0, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0027	1	[160, 97, 117]	[[6.0, -6.0, 0],[-6.0, -6.0, 0],[-6.0, 6.0, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0028	1	[93, 117, 164]	[[3.0, -7.9, 0],[7.9, 3.0, 0],[-3.0, 7.9, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0029	1	[115, 162, 97]	[[-6.0, 6.0, 0],[6.0, 6.0, 0],[-6.0, -6.0, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0030	1	[115, 164, 95]	[[3.9, 7.5, 0],[-7.5, 3.9, 0],[7.5, -3.9, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0031	1	[115, 95, 164]	[[7.5, -3.9, 0],[3.9, 7.5, 0],[-7.5, 3.9, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0032	1	[160, 119, 95]	[[-7.9, -3.0, 0],[3.0, -7.9, 0],[7.9, 3.0, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0033	1	[115, 162, 97]	[[7.5, -3.9, 0],[-3.9, -7.5, 0],[-7.5, 3.9, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0034	1	[115, 97, 162]	[[7.5, -3.9, 0],[-7.5, 3.9, 0],[-3.9, -7.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0035	1	[160, 119, 95]	[[0.5, 8.5, 0],[-0.5, -8.5, 0],[8.5, -0.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0036	1	[160, 117, 97]	[[3.9, 7.5, 0],[-3.9, -7.5, 0],[-7.5, 3.9, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0037	1	[115, 97, 162]	[[-7.5, 3.9, 0],[7.5, -3.9, 0],[-3.9, -7.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0038	1	[93, 164, 117]	[[-0.5, -8.5, 0],[-8.5, 0.5, 0],[0.5, 8.5, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
 NNNew.1.0039	1	[93, 117, 164]	[[6.0, 6.0, 0],[6.0, -6.0, 0],[-6.0, -6.0, 0]]	[[{"NumTokens":4,"Probability":1}], [{"NumTokens":-1,"Probability":1}], [{"NumTokens":-1,"Probability":1}]]	FALSE
