TrialID	BlockCount	TrialStimIndices	TrialStimLocations	TrialStimTokenReward	RandomizedLocations
 VSn0.TDSIM0	1	[18]	[[-15.00,7.60, 0.0]]	[[{"NumTokens":2,"Probability":1}]]	FALSE
 VSn0.TDSIM0	1	[18]	[[10.00,7.60, 0.0]]	[[{"NumTokens":2,"Probability":1}]]	FALSE
 VSn0.TDSIM0	1	[18]	[[-5.00,3.80, 0.0]]	[[{"NumTokens":2,"Probability":1}]]	FALSE
 VSn0.TDSIM0	1	[18]	[[-15.00,-11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}]]	FALSE
 VSn0.TDSIM0	1	[18]	[[5.00,-3.80, 0.0]]	[[{"NumTokens":2,"Probability":1}]]	FALSE
 VSn0.TDSIM0	1	[18]	[[5.00,-11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}]]	FALSE
 VSn0.TDSIM0	1	[18]	[[0.00,-7.60, 0.0]]	[[{"NumTokens":2,"Probability":1}]]	FALSE
 VSn0.TDSIM0	1	[18]	[[20.00,11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}]]	FALSE
 VSn0.TDSIM0	1	[18]	[[0.00,-11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}]]	FALSE
 VSn0.TDSIM0	1	[18]	[[-10.00,-11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}]]	FALSE
 VSn12.TDSIM2	1	[18,58,21,28,62,54,10,2,50,34,19,16,30]	[[0.00,11.40, 0.0],[-15.00, 11.40, 0.0],[-20.00, -11.40, 0.0],[20.00, 3.80, 0.0],[-20.00, 0.00, 0.0],[-10.00, 3.80, 0.0],[20.00, -3.80, 0.0],[-10.00, 7.60, 0.0],[-10.00, 0.00, 0.0],[5.00, -3.80, 0.0],[0.00, 7.60, 0.0],[10.00, -7.60, 0.0],[5.00, 11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
