BlockName	NumTrials	NumClicksLeft	NumClicksRight	NumCoinsLeft	NumCoinsRight	ClicksPerOutline	NumPulsesLeft	NumPulsesRight	PulseSizeLeft	PulseSizeRight	ContextName
EC3_2-EC1_8	1	3	2	3	1	1	2	8	500	500	011_058_004_001_3
EC3_8-EC1_8	1	4	2	3	1	1	8	8	500	500	011_058_004_001_3
EC3_2-EC3_8	1	3	4	3	3	1	2	8	500	500	011_058_004_001_3
EC1_2-EC3_2	1	1	3	1	3	1	2	2	500	500	011_058_004_001_3
EC1_8-EC1_2	1	2	1	1	1	1	8	2	500	500	011_058_004_001_3
EC3_8-EC1_2	1	4	1	3	1	1	8	2	500	500	011_058_004_001_3
EC1_2-EC1_8	1	1	2	1	1	1	2	8	500	500	011_058_021_001_3
EC1_8-EC3_2	1	2	3	1	3	1	8	2	500	500	011_058_021_001_3
EC1_2-EC3_8	1	1	4	1	3	1	2	8	500	500	011_058_021_001_3
EC3_2-EC1_2	1	3	1	3	1	1	2	2	500	500	011_058_021_001_3
EC3_8-EC3_2	1	4	3	3	3	1	8	2	500	500	011_058_021_001_3
EC1_8-EC3_8	1	2	4	1	3	1	8	8	500	500	011_058_021_001_3
