BlockName	MinMaxNumTrials	ShowNegFb	PulseSize	PerfWindowEndTrials	PerfThresholdEndTrials	WhiteSquareDuration	BlueSquareDuration	GratingSquareDuration	GreyOnReleaseDuration	TimeoutDuration	ItiDuration	MinTouchDuration	MaxTouchDuration	SquareSize	SquareSizeMin	SquareSizeMax	PositionX	PositionX_Min	PositionX_Max	PositionY	PositionY_Min	PositionY_Max	RewardTouch	NumTouchPulses	RewardRelease	NumReleasePulses	RandomSquareSize	RandomSquarePosition	TimeToAutoEndTrialSec	TouchToRewardDelay	ReleaseToRewardDelay
Level1	[1, 1]	TRUE	250	3	1	0.2	1.5	0.5	0.5	1	0.5	0.05	2.5	1.5	1	1.5	0	-650	650	0	-300	300	FALSE	1	TRUE	1	FALSE	FALSE	180	0.05	0.05
Level2	[1, 1]	TRUE	250	3	1	0.2	1.5	0.5	0.5	1	0.5	0.05	2.5	1.5	1	1.5	-200	-650	650	175	-300	300	FALSE	1	TRUE	1	TRUE	TRUE	180	0.05	0.05
Level3	[1, 1]	TRUE	250	3	1	0.2	1.5	0.5	0.5	1	0.5	0.05	2.5	1.5	1	1.5	200	-650	650	-175	-300	300	FALSE	1	TRUE	1	TRUE	TRUE	180	0.05	0.05
Level4	[1, 1]	TRUE	250	3	1	0.2	1.5	0.5	0.5	1	0.5	0.05	2.5	1.5	1	1.5	-400	-650	650	250	-300	300	FALSE	1	TRUE	1	TRUE	TRUE	180	0.05	0.05
Level5	[1, 1]	TRUE	250	3	1	0.35	1.5	0.5	0.5	1	0.5	0.1	2	1.25	1	1.5	400	-650	650	-250	-300	300	FALSE	1	TRUE	1	TRUE	TRUE	180	0.05	0.05
Level6	[1, 1]	TRUE	250	3	1	0.35	1.5	0.5	0.5	1	0.5	0.1	2	1.25	1	1.5	-400	-650	650	400	-300	300	FALSE	1	TRUE	1	TRUE	TRUE	180	0.05	0.35
Level7	[1, 1]	TRUE	250	3	1	0.35	2	0.5	0.5	1	0.5	0.1	2	1.25	1	1.5	200	-650	650	-400	-300	300	FALSE	1	TRUE	1	TRUE	TRUE	180	0.05	0.05
Level8	[1, 1]	TRUE	250	3	1	0.35	2	0.5	0.5	1	0.5	0.1	2	1.25	1	1.5	-200	-650	650	500	-300	300	FALSE	1	TRUE	1	TRUE	TRUE	180	0.05	0.05
Level9	[1, 1]	TRUE	250	3	1	0.5	2	0.5	0.5	1	0.5	0.2	1.5	1	1	1.5	400	-650	650	-500	-300	300	FALSE	1	TRUE	1	TRUE	TRUE	180	0.05	0.05
Level10	[1, 1]	TRUE	250	3	1	0.5	2	0.5	0.5	1	0.5	0.2	1.5	1	1	1.5	-400	-650	650	650	-300	300	FALSE	1	TRUE	1	TRUE	TRUE	180	0.05	0.05
Level11	[1, 1]	TRUE	250	3	1	0.5	2	0.5	0.5	1	0.5	0.2	1.5	1	1	1.5	600	-650	650	-650	-300	300	FALSE	1	TRUE	1	TRUE	TRUE	180	0.05	0.05
Level12	[1, 1]	TRUE	250	3	1	0.5	2	0.5	0.5	1	0.5	0.2	1.5	1	1	1.5	-650	-650	650	175	-300	300	FALSE	1	TRUE	1	TRUE	TRUE	180	0.05	0.35
