StimIndex	FileName	PrefabPath
0	BOD0_BMC0_BCC0_BPT2_FRC8_HEA1_HMC3_HCC10_HPT3_ELT2_ERT3_ELL0_ERL0_AP1_AAL0_AAR1_BEK0.fbx	DefaultResources/Stimuli
1	BOD0_BMC0_BCC2_BPT3_FRC25_HEA0_HMC16_HCC7_HPT0_ELT1_ERT1_ELL1_ERL0_AP0_AAL0_AAR0_BEK1.fbx	DefaultResources/Stimuli
2	BOD0_BMC0_BCC3_BPT2_FRC23_HEA2_HMC6_HCC2_HPT3_ELT1_ERT3_ELL1_ERL2_AP1_AAL2_AAR0_BEK1.fbx	DefaultResources/Stimuli
3	BOD0_BMC0_BCC7_BPT4_FRC17_HEA1_HMC2_HCC1_HPT4_ELT2_ERT1_ELL0_ERL0_AP1_AAL1_AAR0_BEK1.fbx	DefaultResources/Stimuli
4	BOD0_BMC0_BCC10_BPT3_FRC24_HEA0_HMC14_HCC8_HPT0_ELT0_ERT2_ELL0_ERL2_AP0_AAL0_AAR1_BEK1.fbx	DefaultResources/Stimuli
5	BOD0_BMC0_BCC11_BPT1_FRC2_HEA1_HMC4_HCC17_HPT1_ELT1_ERT1_ELL1_ERL0_AP3_AAL2_AAR1_BEK0.fbx	DefaultResources/Stimuli
6	BOD0_BMC0_BCC12_BPT0_FRC12_HEA2_HMC0_HCC3_HPT1_ELT0_ERT3_ELL0_ERL1_AP0_AAL0_AAR1_BEK0.fbx	DefaultResources/Stimuli
7	BOD0_BMC0_BCC17_BPT4_FRC23_HEA1_HMC5_HCC10_HPT0_ELT1_ERT2_ELL0_ERL0_AP0_AAL2_AAR0_BEK0.fbx	DefaultResources/Stimuli
8	BOD0_BMC1_BCC4_BPT2_FRC30_HEA2_HMC10_HCC14_HPT4_ELT3_ERT0_ELL0_ERL1_AP2_AAL1_AAR0_BEK1.fbx	DefaultResources/Stimuli
9	BOD0_BMC1_BCC4_BPT4_FRC17_HEA1_HMC12_HCC10_HPT4_ELT1_ERT1_ELL1_ERL1_AP3_AAL1_AAR1_BEK0.fbx	DefaultResources/Stimuli
10	BOD0_BMC1_BCC9_BPT1_FRC29_HEA2_HMC17_HCC13_HPT3_ELT3_ERT1_ELL0_ERL1_AP0_AAL0_AAR0_BEK1.fbx	DefaultResources/Stimuli
11	BOD0_BMC1_BCC11_BPT0_FRC20_HEA2_HMC8_HCC9_HPT1_ELT1_ERT3_ELL1_ERL0_AP2_AAL1_AAR0_BEK1.fbx	DefaultResources/Stimuli
